===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,TimeReturn,len,timereturn
1,,1,2019-05-05 00:00:00,2925.75,2926.75,2883.75,2886.75,4370.0,0.0,MyStrategy,1,737184.0,Broker,1,20000.0,20000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,TimeReturn,1,0.0
2,,2,2019-05-06 00:00:00,2886.75,2938.0,2886.25,2912.5,164851.0,0.0,MyStrategy,2,737185.0,Broker,2,20000.0,20000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,TimeReturn,2,0.0
3,,3,2019-05-07 00:00:00,2912.5,2930.75,2862.5,2891.0,250365.0,0.0,MyStrategy,3,737186.0,Broker,3,20000.0,20000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,TimeReturn,3,0.0
4,,4,2019-05-08 00:00:00,2891.5,2899.25,2867.75,2871.25,259360.0,0.0,MyStrategy,4,737187.0,Broker,4,20000.0,20000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,TimeReturn,4,0.0
5,,5,2019-05-09 00:00:00,2871.5,2889.25,2836.25,2859.75,357027.0,0.0,MyStrategy,5,737188.0,Broker,5,20000.0,20000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,TimeReturn,5,0.0
6,,6,2019-05-10 00:00:00,2860.25,2893.0,2826.0,2887.25,361416.0,0.0,MyStrategy,6,737189.0,Broker,6,20000.0,20000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,TimeReturn,6,0.0
7,,7,2019-05-12 00:00:00,2881.25,2881.25,2852.5,2857.75,20314.0,0.0,MyStrategy,7,737191.0,Broker,7,20000.0,20000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,TimeReturn,7,0.0
8,,8,2019-05-13 00:00:00,2857.75,2858.75,2799.5,2821.75,383355.0,0.0,MyStrategy,8,737192.0,Broker,8,20032.7142286625,20033.7142286625,BuySell,8,,2901.63125,Trades - Net Profit/Loss,8,,,TimeReturn,8,0.0016857114331250145
9,,9,2019-05-14 00:00:00,2821.5,2854.0,2816.25,2844.0,177393.0,0.0,MyStrategy,9,737193.0,Broker,9,20010.4642286625,20011.4642286625,BuySell,9,,,Trades - Net Profit/Loss,9,,,TimeReturn,9,-0.0011106278020162064
10,,10,2019-05-15 00:00:00,2844.0,2860.0,2815.0,2846.5,224416.0,0.0,MyStrategy,10,737194.0,Broker,10,20007.9642286625,20008.9642286625,BuySell,10,,,Trades - Net Profit/Loss,10,,,TimeReturn,10,-0.0001249283896187503
11,,11,2019-05-16 00:00:00,2846.5,2894.25,2842.0,2869.5,210705.0,0.0,MyStrategy,11,737195.0,Broker,11,19984.9642286625,19985.9642286625,BuySell,11,,,Trades - Net Profit/Loss,11,,,TimeReturn,11,-0.0011494847877758785
12,,12,2019-05-17 00:00:00,2869.25,2887.75,2852.5,2861.5,289246.0,0.0,MyStrategy,12,737196.0,Broker,12,19972.872567887498,19973.872567887498,BuySell,12,2809.7125,,Trades - Net Profit/Loss,12,,-16.08160172499993,TimeReturn,12,-0.0006050076261849835
13,,13,2019-05-19 00:00:00,2861.5,2876.75,2861.5,2870.5,16490.0,0.0,MyStrategy,13,737198.0,Broker,13,19981.872567887498,19982.872567887498,BuySell,13,,,Trades - Net Profit/Loss,13,,,TimeReturn,13,0.0004505886362000666
14,,14,2019-05-20 00:00:00,2871.0,2873.0,2832.25,2856.75,261260.0,0.0,MyStrategy,14,737199.0,Broker,14,19968.122567887498,19969.122567887498,BuySell,14,,,Trades - Net Profit/Loss,14,,,TimeReturn,14,-0.0006880892601044408
15,,15,2019-05-21 00:00:00,2856.5,2870.75,2846.5,2867.0,156235.0,0.0,MyStrategy,15,737200.0,Broker,15,19978.372567887498,19979.372567887498,BuySell,15,,,Trades - Net Profit/Loss,15,,,TimeReturn,15,0.0005132924576507492
